Contig	Start	End	Strand	Length	PID	Gene	Synonym	Code	COG	Product	ket/xyl_E1004_01	ket/xyl_E1004_03	ket/xyl_E1004_04	propofol_E1004_05	propofol_E1004_06	propofol_E1004_08	input_E1004_13	input_E1004_14	input_E1004_15
CP009208	22314	22511	+	198	AIK78653.1	-	VK055_0022	-	-	dextransucrase DSRB family protein	44.33373417	0	28.54140428	6.011156938	14.11891361	30.62247677	23.26843039	16.78844171	15.48993805
CP009208	22544	23158	-	615	AIK78654.1	rcsA	VK055_0023	-	-	"positive DNA-binding transcriptional regulator of capsular polysaccharide synthesis, activates its own expression"	23.3983597	65.43234644	1.698893112	20.80785094	160.4555703	26.64083085	28.90926201	21.03959219	23.30728997
CP009208	23543	23974	+	432	AIK78655.1	-	VK055_0024	-	-	yedD-like family protein	22.57736462	196.8856361	142.791966	60.57396607	59.63770279	97.80370239	50.55595331	36.60312614	37.85625048
CP009208	24016	25503	-	1488	AIK78656.1	amyK38	VK055_0025	-	-	amylase	223.3927605	187.3699875	1030.123838	724.2288119	299.2915541	301.7363668	200.2495222	143.4583152	149.7601955
CP009208	25704	26504	+	801	AIK78657.1	-	VK055_0026	-	-	"bacterial extracellular solute-binding, 3 familyprotein"	245.3954286	529.5409386	119.7719644	112.3623951	328.0441334	456.441409	209.8389359	130.4166502	146.9372629
CP009208	26600	27586	+	987	AIK78658.1	dcyD	VK055_0027	-	-	D-cysteine desulfhydrase monomer	33.49659915	103.5930402	118.4977945	57.33718926	167.220883	38.87534285	130.5852518	106.9992959	126.7424371
CP009208	27602	28270	+	669	AIK78659.1	-	VK055_0028	-	-	"amino ABC transporter, permease, 3-TM region, His/Glu/Gln/Arg/opine family domain protein"	156.9742588	253.7833287	93.60901045	473.2630097	270.9066549	405.2591606	335.9115224	265.3726645	257.3935501
CP009208	28267	29019	+	753	AIK78660.1	-	VK055_0029	-	-	ABC transporter family protein	144.6593326	151.4655816	116.9687907	86.23698223	78.38938493	35.11087762	86.72778602	67.44198044	69.12565814
CP009208	29337	30059	+	723	AIK78661.1	-	VK055_0030	-	-	"bacterial regulatory, luxR family protein"	312.0602289	136.6525616	58.44192304	291.4255123	8.236032938	71.16287154	43.64593459	30.69474751	34.01995741
CP009208	30127	30351	-	225	AIK78662.1	-	VK055_0031	-	-	hypothetical protein	0	0	0	0	0	0	0	0	0
CP009208	30813	31469	+	657	AIK78663.1	-	VK055_0032	-	-	"bacterial regulatory, luxR family protein"	193.3443407	34.43291394	127.756762	203.5701417	106.1859961	5.501910719	74.10642529	58.00298532	53.12903987
CP009208	31466	33298	+	1833	AIK78664.1	uvrC	VK055_0033	-	-	excinuclease ABC subunit C	435.0452914	503.8388775	269.5293922	271.658054	376.4308269	525.6496544	380.1215402	270.8487227	276.6473983
CP009208	33356	33904	+	549	AIK78665.1	pgsA	VK055_0034	-	-	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase	0	0	0	0	0	0	0	0	0
CP009208	34055	34130	+	76	-	-	VK055_0035	-	-	tRNA-Gly	0	0	0	0	0	0	0	0	0
CP009208	34171	34244	+	74	-	-	VK055_0036	-	-	tRNA-Cys	0	0	0	0	0	0	0	0	0
CP009208	34258	34344	+	87	-	-	VK055_0037	-	-	tRNA-Leu	0	0	0	0	0	0	0	0	0
CP009208	34609	35454	+	846	AIK78666.1	dapA2	VK055_0038	-	-	dihydrodipicolinate synthase	55.2529687	50.91362489	51.90118456	32.13656979	41.40077272	72.9727106	67.68997933	47.12292223	47.04887727
CP009208	35553	36221	+	669	AIK78667.1	-	VK055_0039	-	-	yecA family protein	128.5678291	104.4759355	548.5725858	85.65898637	52.651782	35.25566474	105.2015095	81.06007265	82.87840688
CP009208	36246	37457	-	1212	AIK78668.1	tyrP	VK055_0040	-	-	tyrosine ArAAP transporter	290.0575608	491.8707422	618.312148	626.2007141	453.8642437	539.5492183	286.5542458	197.5704171	207.4493573
CP009208	37649	37888	+	240	AIK78669.1	-	VK055_0041	-	-	hypothetical protein	0	0	0	0	0	0	0	0	0
CP009208	37924	38421	-	498	AIK78670.1	-	VK055_0042	-	-	putative ferritin-1	45.15472925	4.316376676	26.84251116	0	0	16.21615791	15.30075574	7.92587377	8.251649244
CP009208	38479	38658	-	180	AIK78671.1	-	VK055_0043	-	-	hypothetical protein	0	0	0	0	0	0	0	0	0
CP009208	38829	39467	+	639	AIK78672.1	-	VK055_0044	-	-	putative sugar-phosphate isomerase	139.5691631	81.12826162	3.312841568	2.658780954	60.07891884	56.17740419	89.54820182	62.47029599	71.15237901
CP009208	39517	40938	-	1422	AIK78673.1	-	VK055_0045	-	-	major Facilitator Superfamily protein	109.9312408	223.9610898	234.9569173	168.4279934	541.3720937	316.1426857	232.1202208	144.6111696	170.3169357
CP009208	41089	41340	+	252	AIK78674.1	-	VK055_0046	-	-	hypothetical protein	0	0	0	0	0	0	0	0	0
CP009208	41378	42889	-	1512	AIK78675.1	-	VK055_0047	-	-	major Facilitator Superfamily protein	440.956456	1414.790555	630.4592337	2882.234153	1138.999234	741.5272566	669.7782434	414.8834652	429.7372067
CP009208	42955	43113	+	159	AIK78676.1	-	VK055_0048	-	-	putative succinate dehydrogenase	0	0	0	0	0	0	0	0	0
CP009208	43184	43654	-	471	AIK78677.1	-	VK055_0049	-	-	ferritin-like domain protein	18.0618917	394.2617696	18.26310095	35.95134246	177.8100683	102.5092839	80.31134006	56.27370377	52.18806232
CP009208	44067	44213	+	147	AIK78678.1	-	VK055_0050	-	-	hypothetical protein	0	0	0	0	0	0	0	0	0
CP009208	44584	45564	+	981	AIK78679.1	-	VK055_0051	-	-	periplasmic binding and sugar binding domain of LacI family protein	0	64.15705333	16.13948456	28.20619794	11.32454529	7.384143334	29.47334517	20.7513786	17.95095625
CP009208	45627	47141	+	1515	AIK78680.1	araG	VK055_0052	-	-	arabinose import ATP-binding protein AraG	571.6588723	331.5762083	176.345105	879.2473014	541.7397737	310.0616265	259.1257021	171.6311938	180.5229229
CP009208	47156	48136	+	981	AIK78681.1	-	VK055_0053	-	-	branched-chain amino acid transport system / permease component family protein	548.0142141	443.1153056	243.2814936	761.1049477	978.9113435	365.8046693	372.5064175	225.7432956	238.6463821
CP009208	48298	49086	+	789	AIK78682.1	otsB	VK055_0054	-	-	trehalose-phosphatase	107.3040566	54.64140475	10.61808195	4.85516522	261.7146538	26.78561798	58.52362796	35.01795138	39.08675958
CP009208	49061	50485	+	1425	AIK78683.1	otsA	VK055_0055	-	-	"alpha,alpha-trehalose-phosphate synthase"	114.0362162	168.8291877	65.32244014	103.9236555	238.0360591	132.3354315	240.5814682	144.8273298	151.7869164
CP009208	50509	50937	-	429	AIK78684.1	-	VK055_0056	-	-	universal stress protein	103.9379768	42.28087154	22.17055511	38.72572258	67.21191166	137.547768	103.3682393	73.20625228	71.803825
CP009208	51290	52873	+	1584	AIK78685.1	-	VK055_0057	-	-	major Facilitator Superfamily protein	405.8178667	761.7423839	634.5365772	488.6376996	439.5247221	627.5073963	422.6393084	265.8770383	299.0860937
CP009208	52878	54017	+	1140	AIK78686.1	-	VK055_0058	-	-	glycosyl Hydrolase Family 88 family protein	186.2016835	649.8108887	141.1780176	112.5935934	512.1047623	195.7521919	241.2865722	170.6944996	172.5608052
CP009208	54079	55812	-	1734	AIK78687.1	argS	VK055_0059	-	-	arginine--tRNA ligase	0	0	0	0	0	0	0	0	0
CP009208	56048	56617	+	570	AIK78688.1	-	VK055_0060	-	-	yecM family protein	41.37815189	227.6888697	369.5092518	40.11291265	125.3788943	91.72264318	126.9187112	92.66066971	98.51311071
CP009208	56694	57437	+	744	AIK78689.1	cutC	VK055_0061	-	-	copper homeostasis protein	168.3860903	59.3501793	113.9107831	56.87479257	83.31629749	155.5013714	116.5536832	72.99009208	91.70911923
CP009208	57519	58523	-	1005	AIK78690.1	cmoB	VK055_0062	-	-	tRNA (mo5U34)-methyltransferase	0	0	5.011734679	0	0	0	2.397353435	0.864640775	1.737189315
CP009208	58520	59263	-	744	AIK78691.1	cmoA	VK055_0063	-	-	tRNA (cmo5U34)-methyltransferase	53.200481	214.0530434	65.49232946	232.701133	195.8263903	125.8924045	111.4064243	82.86140759	96.63115562
CP009208	59303	59698	-	396	AIK78692.1	-	VK055_0064	-	-	MAPEG family protein	0	80.34346586	0	13.29390477	26.10528297	24.68620468	26.1593566	28.24493198	23.66920441
CP009208	59751	60569	-	819	AIK78693.1	-	VK055_0065	-	-	hypothetical protein	212.309327	88.68192081	19.53727078	0	39.34176448	5.86387853	34.97315599	34.2974174	41.54777777
CP009208	60566	61132	-	567	AIK78694.1	-	VK055_0066	-	-	isochorismatase family protein	16.33780204	50.81552542	41.36804727	0	21.76665848	23.67269481	51.04952608	62.39824259	64.56553619
CP009208	61451	63187	+	1737	AIK78695.1	aspS	VK055_0067	-	-	aspartate--tRNA ligase	0	0	0	0	0	0	0	0	0
CP009208	63189	63632	+	444	AIK78696.1	ntpA	VK055_0068	-	-	dATP pyrophosphohydrolase	0	0	0	0	0	0	14.454631	13.54603881	9.482158342
CP009208	63660	64400	+	741	AIK78697.1	-	VK055_0069	-	-	"DNA-binding regulatory, YebC/PmpR family protein"	2.545084739	0	0	0	0	0	20.94158736	19.81468442	15.27278939
CP009208	64435	64956	+	522	AIK78698.1	ruvC	VK055_0070	-	-	crossover junction endodeoxyribonuclease RuvC	0	0	0	0	0	0	9.730434529	4.755524262	8.830712349
CP009208	65036	65647	+	612	AIK78699.1	ruvA	VK055_0071	-	-	holliday junction DNA helicase RuvA	0	0	0	0	0	0	7.474101884	6.412752414	6.731608594
CP009208	65656	66666	+	1011	AIK78700.1	ruvB	VK055_0072	-	-	holliday junction DNA helicase RuvB	0	0	0	0	0.661824075	0	44.06899696	45.75390767	34.01995741
CP009208	66730	67515	-	786	AIK78701.1	-	VK055_0073	-	-	fecCD transport family protein	41.78864943	357.8668663	6.285904513	1140.154632	3244.629298	189.8883134	99.20812596	83.50988818	88.45188927
CP009208	67515	68267	-	753	AIK78702.1	-	VK055_0074	-	-	ABC transporter family protein	15.27050844	35.80630652	38.56487364	0	6.471168737	31.63598664	40.04990444	35.30616498	37.92863337
CP009208	68346	69290	+	945	AIK78703.1	znuA	VK055_0075	-	-	high-affinity zinc uptake system protein znuA	73.56115892	783.8147647	77.89424917	84.50299465	558.5795196	159.8449851	153.994703	111.3945532	120.8794231
CP009208	69369	70625	+	1257	AIK78704.1	-	VK055_0076	-	-	putative peptidase	191.7023505	561.5213658	136.5060615	516.4971	216.1223286	246.5724725	316.8032053	259.6804461	299.6651568
CP009208	70743	71717	+	975	AIK78705.1	msbB	VK055_0077	-	-	lipid A biosynthesis (KDO)2-(lauroyl)-lipid IVA acyltransferase	17.07669761	0	4.926790024	20.80785094	36.10618011	26.56843729	34.90264559	34.94589799	29.09792102
CP009208	71758	73200	-	1443	AIK78706.1	pyk	VK055_0078	-	-	pyruvate kinase	317.8892939	493.0479358	297.6460732	294.0842933	354.8112404	623.3085697	218.4412041	165.2904948	191.2355904
CP009208	73326	74195	-	870	AIK78707.1	-	VK055_0079	-	-	"helix-turn-helix domain, rpiR family protein"	49.17760513	273.7956205	1283.938469	980.6277752	245.463196	146.3797826	95.47107501	60.09253386	76.79824428
CP009208	74391	74540	+	150	AIK78708.1	-	VK055_0080	-	-	putative formate-tetrahydrofolate ligase	0	0	0	0	0	0	0	0	0
CP009208	74551	76026	+	1476	AIK78709.1	zwf	VK055_0081	-	-	glucose-6-phosphate dehydrogenase	6.239562587	58.46728407	29.81557411	131.4362584	93.61133866	34.60412268	69.73478079	56.27370377	38.86961091
CP009208	76261	78060	+	1800	AIK78710.1	edd	VK055_0082	-	-	phosphogluconate dehydratase	254.7547725	1237.328614	291.4451133	93.17293255	197.3706465	691.1413374	230.4279713	208.3784268	204.3368931
CP009208	78099	78740	+	642	AIK78711.1	eda	VK055_0083	-	-	eda	9.03094585	1.079094169	6.880517102	0	12.86880147	0	4.794706869	5.476058241	0.940977545
CP009208	78796	79974	-	1179	AIK78712.1	purT	VK055_0084	-	-	phosphoribosylglycinamide formyltransferase 2	84.72669197	223.372493	238.1848143	198.4837781	156.9993779	296.2344561	196.0894089	146.3404512	156.9984843
CP009208	80119	80466	+	348	AIK78713.1	yebG	VK055_0085	-	-	hypothetical protein regulated by LexA	0	40.02458373	90.72089216	648.3957552	84.49287363	20.19780383	40.5434772	30.62269411	31.48655633
CP009208	80606	81265	+	660	AIK78714.1	-	VK055_0086	-	-	hypothetical protein	46.38622186	195.0217462	356.2578855	8.785537064	204.6507113	265.9739471	102.0990522	101.955558	115.3059408
CP009208	81419	83446	+	2028	AIK78715.1	-	VK055_0087	-	-	protease II	260.4196385	269.3811444	243.5363276	291.6567107	301.2770263	380.5005624	205.749333	166.227189	174.5875261
CP009208	83450	84109	-	660	AIK78716.1	-	VK055_0088	-	-	exonuclease family protein	208.4506501	201.7906096	209.0487974	105.6576431	177.1482442	368.9175925	170.0005627	136.8294026	158.0842276
CP009208	84188	84421	-	234	AIK78717.1	holE	VK055_0089	-	-	"DNA polymerase III, &theta subunit"	0	21.48378391	0	53.17561907	0	0	8.672778602	8.862567943	9.120243901
CP009208	84582	84905	+	324	AIK78718.1	-	VK055_0090	-	-	copC domain protein	29.06322573	5.591669785	9.938524703	10.75072299	6.471168737	83.18020285	20.02495222	13.18577182	19.90529423
CP009208	84909	85778	+	870	AIK78719.1	-	VK055_0091	-	-	copper resistance D family protein	88.42116982	301.4596711	156.0433323	250.0410088	95.96449093	217.1806863	200.743095	170.1180725	171.7645935
CP009208	85795	86133	+	339	AIK78720.1	-	VK055_0092	-	-	hypothetical protein	0	16.38261148	0	0	0	0	9.236861763	6.917126199	6.87637437
CP009208	86770	86913	-	144	AIK78721.1	-	VK055_0093	-	-	hypothetical protein	1.149393108	0	0	5.317561907	0	0	15.65330772	13.9063058	9.265009678
CP009208	87018	87977	-	960	AIK78722.1	-	VK055_0094	-	-	hypothetical protein	5.746965541	16.57881042	13.84597886	87.04617644	204.6507113	156.5872748	70.51039514	54.83263581	75.49535229
CP009208	88143	88796	+	654	AIK78723.1	pphA	VK055_0096	-	-	"phosphatase 1 modulates phospho, signals proteinmisfolding"	105.908365	0	81.03720143	2.311983438	71.25639212	274.9507488	55.28014979	42.22329117	40.38965156
CP009208	88793	88984	-	192	AIK78724.1	-	VK055_0095	-	-	hypothetical protein	15.10630942	0.882895229	18.17815629	24.2758261	11.98636937	30.76726389	42.16521629	36.38696594	34.38187185
CP009208	89082	89321	-	240	AIK78725.1	-	VK055_0097	-	-	hypothetical protein	108.0429522	433.2072592	127.501928	64.73553626	144.2041124	100.6270513	139.2580304	137.7660968	146.7924971
CP009208	89437	90825	-	1389	AIK78726.1	rsmF	VK055_0098	-	-	ribosomal RNA small subunit methyltransferase F	54.67827214	86.32753353	273.1820124	60.80516442	59.19648674	176.6402915	71.21549909	74.07089305	74.12007742
CP009208	90994	93627	-	2634	AIK78727.1	-	VK055_0099	-	-	hypothetical protein	102.6243847	145.4815139	188.0674675	48.66725137	289.290657	362.1125976	196.0894089	262.9949024	248.3456891
CP009208	93596	94879	-	1284	AIK78728.1	yebS	VK055_0100	-	-	conserved inner membrane protein	183.9849968	106.2417259	181.6966183	25.43181782	35.22374801	222.2482356	145.7449867	233.597116	254.4258517
CP009208	95012	95509	+	498	AIK78729.1	yebR	VK055_0101	-	-	free methionine-(R)-sulfoxide reductase	20.44277742	11.87003586	14.27070214	9.825929611	25.29638688	9.411163073	16.14688049	22.33655335	16.64806426
CP009208	95607	96284	+	678	AIK78730.1	-	VK055_0102	-	-	putative structural transport element	0	0	0	0	0	0	31.09508425	31.84760188	24.9720964
CP009208	96304	98352	+	2049	AIK78731.1	-	VK055_0103	-	-	tail-specific protease	16.66620007	0	1.783837767	12.94710725	0	14.55110598	103.2977289	116.7265046	93.80822299
CP009208	98588	99472	+	885	AIK78732.1	htpX	VK055_0104	-	-	"heat shock, integral membrane protein"	25.04034986	242.5018896	105.6711515	91.09214745	230.0941702	137.547768	85.10604693	101.0188639	120.1555943
CP009208	99538	100908	-	1371	AIK78733.1	-	VK055_0105	-	-	major Facilitator Superfamily protein	83.24890083	256.4320144	114.7602297	291.4255123	96.92045904	251.6400219	133.123626	171.9194074	184.4315989
CP009208	101086	101877	+	792	AIK78734.1	kdgR	VK055_0106	-	-	kdgR transcriptional repressor	10.42663748	29.33174151	23.02000166	0	8.824321005	4.560794412	33.98601046	34.94589799	35.82952961
CP009208	101934	102143	-	210	AIK78735.1	-	VK055_0107	-	-	yobH-like family protein	13.95691631	227.0021734	82.31137126	1025.827051	15.07488172	36.92071667	34.7616248	28.02877179	29.09792102
CP009208	102333	102476	+	144	AIK78736.1	mgrB	VK055_0108	-	-	small protein involved in the acid stress response	0	0	0	0	0	0	0	0	0
CP009208	102605	102841	+	237	AIK78737.1	-	VK055_0109	-	-	yebO-like family protein	0	0	0	0	0	0	0	0	0
CP009208	103589	103798	+	210	AIK78738.1	cspC	VK055_0110	-	-	"stress, member of the CspA stress protein, member of the CspA family predicted DNA-binding transcriptional regulator"	60.67153621	335.892585	68.12561378	0	39.63590852	243.5319429	24.39659672	16.06790773	18.45763647
CP009208	103989	105734	+	1746	AIK78739.1	ftsI	VK055_0111	-	-	essential cell division FtsI; penicillin-bindingprotein 3	352.3710871	118.0136623	765.0965128	628.5126976	622.2617029	424.2262739	197.9226791	169.8298589	183.7801529
CP009208	105796	106590	+	795	AIK78740.1	yebH	VK055_0112	-	-	23S rRNA m1G745 methyltransferase	173.5583593	174.9113549	87.06827197	139.7593988	53.38714208	52.63011965	83.48430784	73.49446587	75.13343785
CP009208	106594	107160	-	567	AIK78741.1	-	VK055_0113	-	-	hypothetical protein	0	0	0	0	0	0	0	0	0
CP009208	107579	108037	-	459	AIK78742.1	-	VK055_0114	-	-	hypothetical protein	148.764308	65.43234644	156.8078342	359.2822262	107.6567163	130.0912311	122.053494	97.48824737	97.21021873
CP009208	108100	108951	-	852	AIK78743.1	manZ	VK055_0115	-	-	manZ	228.8934275	46.49914874	350.9063722	160.9140473	413.7871191	468.3863468	198.0636999	154.0501647	156.1298896
CP009208	108964	109764	-	801	AIK78744.1	manY	VK055_0116	-	-	manY	160.9971346	52.38511694	53.26029905	32.83016482	21.69312247	0.217180686	38.78071732	30.04626693	23.45205575
CP009208	109821	110792	-	972	AIK78745.1	manX	VK055_0117	-	-	manX	51.31219233	325.7883396	97.17668599	101.2648746	54.93139826	72.10398785	99.77220912	72.91803868	71.94859078
CP009208	111239	112798	+	1560	AIK78746.1	-	VK055_0118	-	-	transporter associated domain protein	158.1236519	337.0697786	186.6234083	254.6649757	254.140445	198.3583601	180.9296739	179.7732278	183.4182385
CP009208	112832	114409	-	1578	AIK78747.1	-	VK055_0119	-	-	putative cyclic-di-GMP phosphodiesterase AdrB	33.16820112	259.4730979	106.1808195	65.77592881	41.84198877	113.5131054	114.1563297	119.3924803	124.3538018
CP009208	114592	115938	-	1347	AIK78748.1	-	VK055_0120	-	-	L-serine ammonia-lyase	81.19641314	26.48685688	355.153605	6.589152798	24.41395478	25.55492742	48.79319343	86.1758639	102.2770209
CP009208	116119	116697	-	579	AIK78749.1	-	VK055_0121	-	-	NUDIX domain protein	0	0	0	0	0	0	0.352551976	26.65975723	23.81397019
CP009208	116701	118056	-	1356	AIK78750.1	pabB	VK055_0122	-	-	"aminodeoxychorismate synthase, component I"	0	0	3.567675535	0	0	0	61.55557495	99.14547552	104.0865931
CP009208	118145	118330	+	186	AIK78751.1	-	VK055_0123	-	-	hypothetical protein	31.9367085	21.87618179	5.436457957	0	20.07533029	20.55977164	41.60113313	47.19497563	50.30610723
CP009208	118331	118675	-	345	AIK78752.1	-	VK055_0124	-	-	putative translation initiation inhibitor	0	15.0092189	0	0	6.397632729	38.73055572	16.35841167	16.35612133	18.8919338
CP009208	118807	120717	+	1911	AIK78753.1	-	VK055_0125	-	-	DEAD/DEAH box helicase family protein	41.37815189	170.1044808	321.0907981	92.36373834	144.4247205	102.2197097	168.1672924	182.8715239	207.5217402
CP009208	120863	121558	+	696	AIK78754.1	-	VK055_0126	-	-	putative peptidase	0	0	0	0	0	0	0	0	0
CP009208	121597	122178	+	582	AIK78755.1	-	VK055_0127	-	-	"outer membrane lipo, Slp family protein"	78.97972643	8.534653883	103.1228119	16.64628075	38.82701242	84.0489256	97.79791805	111.53866	136.5865099
CP009208	122383	124068	+	1686	AIK78756.1	fadD	VK055_0128	-	-	fadD	164.8558115	115.2668772	132.5986074	224.2623935	347.2370316	126.8335208	196.0188985	212.6295772	209.9103755
CP009208	124150	125265	+	1116	AIK78757.1	rnd	VK055_0129	-	-	ribonuclease D	11.41183157	33.2557203	4.332177435	1.618388407	12.86880147	19.83583601	40.33194602	62.83056298	68.47421215
CP009208	125343	125612	-	270	AIK78758.1	minE	VK055_0130	-	-	cell division topological specificity factor MinE	0	0	0	0	0	0	0	0	0
CP009208	125616	126428	-	813	AIK78759.1	minD	VK055_0131	-	-	septum site-determining protein MinD	0	1.569591519	0	0	15.29548974	3.547284543	37.86408219	31.48733489	30.32843012
CP009208	126452	127150	-	699	AIK78760.1	minC	VK055_0132	-	-	septum site-determining protein MinC	55.33506821	48.75543655	41.45299192	20.5766526	25.66406692	45.17358275	86.72778602	79.83516488	81.72028067
CP009208	127370	127558	+	189	AIK78761.1	-	VK055_0133	-	-	ycgL domain protein	0	3.041083568	11.04280523	20.22985508	0	0	5.711342006	3.602669895	2.895315524
CP009208	127575	128234	+	660	AIK78762.1	fahHD1	VK055_0134	-	-	fumarylacetoacetate hydrolase domain-containing protein 1	27.17493706	222.1952994	873.4858934	294.6622892	450.7757314	109.8210337	84.18941179	69.74768918	67.38846883
CP009208	128329	128775	+	447	AIK78763.1	-	VK055_0135	-	-	flagellin N-methylase family protein	48.11031153	0	0	68.43470976	66.40301556	28.52306347	18.40321313	12.39318444	18.2404878
CP009208	128782	129126	-	345	AIK78764.1	tehB	VK055_0136	-	-	tellurite resistance protein B	160.7508361	132.3361849	229.9451827	439.5080515	71.62407216	115.5401251	96.24668936	67.58608724	63.47979287
CP009208	129277	129756	-	480	AIK78765.1	dsbB	VK055_0137	-	-	dsbBreduced	0	0	0	0	0	0	126.3546281	114.8531163	79.33164536
CP009208	129936	131486	-	1551	AIK78766.1	nhaB	VK055_0138	-	-	na+/H+ antiporter NhaB	762.2118297	393.4769738	282.5259245	21.73264432	96.33217097	102.7264646	79.60623611	74.35910664	78.02875338
CP009208	131511	131654	+	144	AIK78767.1	-	VK055_0139	-	-	hypothetical protein	0	0	0	0	0	0	0	0	0
CP009208	131735	132454	+	720	AIK78768.1	fadR	VK055_0140	-	-	fatty acid metabolism transcriptional regulator FadR	3.940776371	0	0	0	0	1.085903431	57.88903441	48.49193679	35.03331784
CP009208	132529	134043	-	1515	AIK78769.1	-	VK055_0141	-	-	spoVR like family protein	533.0721036	218.9580169	212.361639	194.7846046	157.4405939	445.6547683	210.4735295	191.3017714	193.7689915
CP009208	134138	134284	+	147	AIK78770.1	-	VK055_0142	-	-	hypothetical protein	0	0	0	0	0	0	0	0	0
CP009208	134410	135681	+	1272	AIK78771.1	-	VK055_0143	-	-	FAD dependent oxidoreductase family protein	9.934040435	27.95834893	28.54140428	0	61.84378305	50.96506772	60.42740863	70.82849014	75.85726674
CP009208	135691	136761	+	1071	AIK78772.1	alr	VK055_0144	-	-	alanine racemase	29.06322573	4.708774556	10.87291591	122.1883247	17.94278604	78.04025994	67.68997933	146.1963444	157.3603987
CP009208	136778	138385	-	1608	AIK78773.1	-	VK055_0145	-	-	transporter associated domain protein	46.22202285	82.40355473	104.2270924	6.12675611	8.530176972	84.19371272	64.65803234	95.97512601	92.14341656
CP009208	138604	139518	-	915	AIK78774.1	-	VK055_0146	-	-	"L,D-carboxypeptidase A"	0	0	0	0	0	0	0	0	0
